Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Seneca,2406,279,01/27/2021
North Country,St. Lawrence,12282,2136,01/27/2021
Southern Tier,Steuben,5273,948,01/27/2021
Long Island,Suffolk,100090,21789,01/27/2021
Mid-Hudson,Sullivan,4504,1276,01/27/2021
Southern Tier,Tioga,2296,462,01/27/2021
Southern Tier,Tompkins,7289,1235,01/27/2021
Mid-Hudson,Ulster,12203,2189,01/27/2021
Capital Region,Warren,5619,1188,01/27/2021
Capital Region,Washington,3620,798,01/27/2021
Finger Lakes,Wayne,6152,1451,01/27/2021
Mid-Hudson,Westchester,79279,16766,01/27/2021
Finger Lakes,Wyoming,2795,724,01/27/2021
Finger Lakes,Yates,1790,240,01/27/2021
Capital Region,Albany,25794,7473,01/28/2021
Western New York,Allegany,2228,392,01/28/2021
New York City,Bronx,60642,12966,01/28/2021
Southern Tier,Broome,16244,2866,01/28/2021
Western New York,Cattaraugus,4651,1010,01/28/2021
Central New York,Cayuga,6846,1242,01/28/2021
Western New York,Chautauqua,8791,1655,01/28/2021
Southern Tier,Chemung,6362,1516,01/28/2021
Southern Tier,Chenango,2998,695,01/28/2021
North Country,Clinton,9451,1988,01/28/2021
Capital Region,Columbia,4663,777,01/28/2021
Central New York,Cortland,3419,633,01/28/2021
Southern Tier,Delaware,2121,461,01/28/2021
Mid-Hudson,Dutchess,17893,4023,01/28/2021
Western New York,Erie,78801,18282,01/28/2021
North Country,Essex,3938,800,01/28/2021
North Country,Franklin,5095,1595,01/28/2021
Mohawk Valley,Fulton,3811,784,01/28/2021
Finger Lakes,Genesee,4519,722,01/28/2021
Capital Region,Greene,3230,491,01/28/2021
North Country,Hamilton,1058,68,01/28/2021
Mohawk Valley,Herkimer,5693,1026,01/28/2021
North Country,Jefferson,8349,2690,01/28/2021
New York City,Kings,109809,21446,01/28/2021
North Country,Lewis,2370,489,01/28/2021
Finger Lakes,Livingston,5857,1293,01/28/2021
Central New York,Madison,6074,1459,01/28/2021
Finger Lakes,Monroe,60328,17642,01/28/2021
Mohawk Valley,Montgomery,4177,1197,01/28/2021
Long Island,Nassau,127894,26873,01/28/2021
New York City,New York,141743,31030,01/28/2021
Western New York,Niagara,17229,3661,01/28/2021
Mohawk Valley,Oneida,22502,5270,01/28/2021
Central New York,Onondaga,47347,9313,01/28/2021
Finger Lakes,Ontario,9747,2723,01/28/2021
Mid-Hudson,Orange,18942,4770,01/28/2021
Finger Lakes,Orleans,2112,495,01/28/2021
Central New York,Oswego,9707,1757,01/28/2021
Mohawk Valley,Otsego,5341,1988,01/28/2021
Mid-Hudson,Putnam,6854,1405,01/28/2021
New York City,Queens,126279,25523,01/28/2021
Capital Region,Rensselaer,12215,3186,01/28/2021
New York City,Richmond,37947,5753,01/28/2021
Mid-Hudson,Rockland,24404,4340,01/28/2021
Capital Region,Saratoga,19540,4597,01/28/2021
Capital Region,Schenectady,12511,3267,01/28/2021
Mohawk Valley,Schoharie,1731,349,01/28/2021
Southern Tier,Schuyler,1540,303,01/28/2021
Finger Lakes,Seneca,2568,385,01/28/2021
North Country,St. Lawrence,12791,2286,01/28/2021
Southern Tier,Steuben,5617,1038,01/28/2021
Long Island,Suffolk,103615,26653,01/28/2021
Mid-Hudson,Sullivan,4634,1364,01/28/2021
Southern Tier,Tioga,2470,516,01/28/2021
Southern Tier,Tompkins,7937,1407,01/28/2021
Mid-Hudson,Ulster,13146,2401,01/28/2021
Capital Region,Warren,5845,1287,01/28/2021
Capital Region,Washington,3804,879,01/28/2021
Finger Lakes,Wayne,6443,1679,01/28/2021
Mid-Hudson,Westchester,82365,18605,01/28/2021
Finger Lakes,Wyoming,3005,786,01/28/2021
Finger Lakes,Yates,1831,268,01/28/2021
Capital Region,Albany,26965,8249,01/29/2021
Western New York,Allegany,2333,396,01/29/2021
New York City,Bronx,63684,14513,01/29/2021
Southern Tier,Broome,17028,3429,01/29/2021
Western New York,Cattaraugus,4720,1018,01/29/2021
Central New York,Cayuga,7099,1299,01/29/2021
Western New York,Chautauqua,9118,1729,01/29/2021
Southern Tier,Chemung,6730,1610,01/29/2021
Southern Tier,Chenango,3190,768,01/29/2021
North Country,Clinton,9760,1999,01/29/2021
Capital Region,Columbia,4760,824,01/29/2021
Central New York,Cortland,3489,667,01/29/2021
Southern Tier,Delaware,2307,504,01/29/2021
Mid-Hudson,Dutchess,18516,4258,01/29/2021
Western New York,Erie,81592,20010,01/29/2021
North Country,Essex,4061,824,01/29/2021
North Country,Franklin,5364,1648,01/29/2021
Mohawk Valley,Fulton,3888,796,01/29/2021
Finger Lakes,Genesee,4751,854,01/29/2021
Capital Region,Greene,3327,525,01/29/2021
North Country,Hamilton,1212,68,01/29/2021
Mohawk Valley,Herkimer,5838,1132,01/29/2021
North Country,Jefferson,8530,2766,01/29/2021
New York City,Kings,115102,23121,01/29/2021
North Country,Lewis,2401,492,01/29/2021
Finger Lakes,Livingston,5961,1389,01/29/2021
Central New York,Madison,6289,1619,01/29/2021
Finger Lakes,Monroe,62592,19386,01/29/2021
Mohawk Valley,Montgomery,4265,1221,01/29/2021
Long Island,Nassau,131979,29218,01/29/2021
New York City,New York,148201,33222,01/29/2021
Western New York,Niagara,17595,3859,01/29/2021
Mohawk Valley,Oneida,22936,5721,01/29/2021
Central New York,Onondaga,48586,10238,01/29/2021
Finger Lakes,Ontario,9952,2815,01/29/2021
Mid-Hudson,Orange,19271,5021,01/29/2021
Finger Lakes,Orleans,2168,518,01/29/2021
Central New York,Oswego,9995,1829,01/29/2021
Mohawk Valley,Otsego,5619,2092,01/29/2021
Mid-Hudson,Putnam,7104,1515,01/29/2021
New York City,Queens,132367,27891,01/29/2021
Capital Region,Rensselaer,12883,3541,01/29/2021
New York City,Richmond,39934,6279,01/29/2021
Mid-Hudson,Rockland,25385,4567,01/29/2021
Capital Region,Saratoga,20343,4903,01/29/2021
Capital Region,Schenectady,12934,3722,01/29/2021
Mohawk Valley,Schoharie,1843,404,01/29/2021
Southern Tier,Schuyler,1578,389,01/29/2021
Finger Lakes,Seneca,2611,400,01/29/2021
North Country,St. Lawrence,13399,2331,01/29/2021
Southern Tier,Steuben,5870,1144,01/29/2021
Long Island,Suffolk,107067,29509,01/29/2021
Mid-Hudson,Sullivan,4830,1445,01/29/2021
Southern Tier,Tioga,2703,595,01/29/2021
Southern Tier,Tompkins,8074,1600,01/29/2021
Mid-Hudson,Ulster,13457,2480,01/29/2021
Capital Region,Warren,5960,1391,01/29/2021
Capital Region,Washington,3906,931,01/29/2021
Finger Lakes,Wayne,6531,1756,01/29/2021
Mid-Hudson,Westchester,85739,19831,01/29/2021
Finger Lakes,Wyoming,3110,810,01/29/2021
Finger Lakes,Yates,1885,389,01/29/2021
Capital Region,Albany,28030,8787,01/30/2021
Western New York,Allegany,2337,396,01/30/2021
New York City,Bronx,65692,15186,01/30/2021
Southern Tier,Broome,17482,3679,01/30/2021
Western New York,Cattaraugus,4729,1021,01/30/2021
Central New York,Cayuga,7169,1318,01/30/2021
Western New York,Chautauqua,9177,1739,01/30/2021
Southern Tier,Chemung,6936,1674,01/30/2021
Southern Tier,Chenango,3223,818,01/30/2021
North Country,Clinton,10025,2008,01/30/2021
Capital Region,Columbia,4810,925,01/30/2021
Central New York,Cortland,3522,671,01/30/2021
Southern Tier,Delaware,2338,509,01/30/2021
Mid-Hudson,Dutchess,18679,4476,01/30/2021
Western New York,Erie,82744,20576,01/30/2021
North Country,Essex,4171,826,01/30/2021
North Country,Franklin,5459,1648,01/30/2021
Mohawk Valley,Fulton,3992,853,01/30/2021
Finger Lakes,Genesee,4883,911,01/30/2021
Capital Region,Greene,3440,552,01/30/2021
North Country,Hamilton,1222,69,01/30/2021
Mohawk Valley,Herkimer,5901,1189,01/30/2021
North Country,Jefferson,9198,2841,01/30/2021
New York City,Kings,117755,23679,01/30/2021
North Country,Lewis,2415,501,01/30/2021
Finger Lakes,Livingston,6103,1435,01/30/2021
Central New York,Madison,6369,1677,01/30/2021
Finger Lakes,Monroe,64973,20375,01/30/2021
Mohawk Valley,Montgomery,4355,1241,01/30/2021
Long Island,Nassau,135051,30694,01/30/2021
New York City,New York,152262,34290,01/30/2021
Western New York,Niagara,17947,4066,01/30/2021
Mohawk Valley,Oneida,23199,6262,01/30/2021
Central New York,Onondaga,49551,11239,01/30/2021
Finger Lakes,Ontario,10164,2844,01/30/2021
Mid-Hudson,Orange,19476,5162,01/30/2021
Finger Lakes,Orleans,2261,562,01/30/2021
Central New York,Oswego,10214,1880,01/30/2021
Mohawk Valley,Otsego,5667,2116,01/30/2021
Mid-Hudson,Putnam,7321,1617,01/30/2021
New York City,Queens,136023,29253,01/30/2021
Capital Region,Rensselaer,13532,3730,01/30/2021
New York City,Richmond,40590,6500,01/30/2021
Mid-Hudson,Rockland,26154,4751,01/30/2021
Capital Region,Saratoga,21073,5066,01/30/2021
Capital Region,Schenectady,13334,3916,01/30/2021
Mohawk Valley,Schoharie,1867,408,01/30/2021
Southern Tier,Schuyler,1593,437,01/30/2021
Finger Lakes,Seneca,2648,402,01/30/2021
North Country,St. Lawrence,13671,2339,01/30/2021
Southern Tier,Steuben,6019,1168,01/30/2021
Long Island,Suffolk,109878,30697,01/30/2021
Mid-Hudson,Sullivan,4910,1453,01/30/2021
Southern Tier,Tioga,2762,623,01/30/2021
Southern Tier,Tompkins,8118,1609,01/30/2021
Mid-Hudson,Ulster,13544,2626,01/30/2021
Capital Region,Warren,6119,1432,01/30/2021
Capital Region,Washington,4157,942,01/30/2021
Finger Lakes,Wayne,6982,1816,01/30/2021
Mid-Hudson,Westchester,87647,21193,01/30/2021
Finger Lakes,Wyoming,3126,816,01/30/2021
Finger Lakes,Yates,1929,406,01/30/2021
Capital Region,Albany,28626,9299,01/31/2021
Western New York,Allegany,2341,396,01/31/2021
New York City,Bronx,66673,15614,01/31/2021
Southern Tier,Broome,17860,3798,01/31/2021
Western New York,Cattaraugus,4740,1026,01/31/2021
Central New York,Cayuga,7261,1324,01/31/2021
Western New York,Chautauqua,9250,1744,01/31/2021
Southern Tier,Chemung,7086,1680,01/31/2021
Southern Tier,Chenango,3284,859,01/31/2021
North Country,Clinton,10257,2040,01/31/2021
Capital Region,Columbia,4857,929,01/31/2021
Central New York,Cortland,3550,690,01/31/2021
Southern Tier,Delaware,2412,513,01/31/2021
Mid-Hudson,Dutchess,18861,4556,01/31/2021
Western New York,Erie,84125,21125,01/31/2021
North Country,Essex,4250,829,01/31/2021
North Country,Franklin,5557,1649,01/31/2021
Mohawk Valley,Fulton,4032,854,01/31/2021
Finger Lakes,Genesee,4906,919,01/31/2021
Capital Region,Greene,3469,571,01/31/2021
North Country,Hamilton,1223,71,01/31/2021
Mohawk Valley,Herkimer,5976,1191,01/31/2021
North Country,Jefferson,9820,2848,01/31/2021
New York City,Kings,120875,24381,01/31/2021
North Country,Lewis,2483,501,01/31/2021
Finger Lakes,Livingston,6134,1439,01/31/2021
Central New York,Madison,6476,1685,01/31/2021
Finger Lakes,Monroe,65917,20481,01/31/2021
Mohawk Valley,Montgomery,4397,1250,01/31/2021
Long Island,Nassau,138012,31839,01/31/2021
New York City,New York,154678,34782,01/31/2021
Western New York,Niagara,18144,4112,01/31/2021
Mohawk Valley,Oneida,23484,6277,01/31/2021
Central New York,Onondaga,51283,11315,01/31/2021
Finger Lakes,Ontario,10233,2851,01/31/2021
Mid-Hudson,Orange,19642,5648,01/31/2021
Finger Lakes,Orleans,2328,624,01/31/2021
Central New York,Oswego,10316,1885,01/31/2021
Mohawk Valley,Otsego,5873,2118,01/31/2021
Mid-Hudson,Putnam,7424,1695,01/31/2021
New York City,Queens,138682,29969,01/31/2021
Capital Region,Rensselaer,14127,3894,01/31/2021
New York City,Richmond,41290,6733,01/31/2021
Mid-Hudson,Rockland,26616,4818,01/31/2021
Capital Region,Saratoga,21622,5272,01/31/2021
Capital Region,Schenectady,13587,4258,01/31/2021
Mohawk Valley,Schoharie,1909,412,01/31/2021
Southern Tier,Schuyler,1634,440,01/31/2021
Finger Lakes,Seneca,2663,407,01/31/2021
North Country,St. Lawrence,14112,2413,01/31/2021
Southern Tier,Steuben,6092,1173,01/31/2021
Long Island,Suffolk,112074,31380,01/31/2021
Mid-Hudson,Sullivan,5044,1475,01/31/2021
Southern Tier,Tioga,2819,639,01/31/2021
Southern Tier,Tompkins,8199,1657,01/31/2021
Mid-Hudson,Ulster,13760,2775,01/31/2021
Capital Region,Warren,6260,1583,01/31/2021
Capital Region,Washington,4200,1004,01/31/2021
Finger Lakes,Wayne,7057,1823,01/31/2021
Mid-Hudson,Westchester,89219,22152,01/31/2021
Finger Lakes,Wyoming,3135,818,01/31/2021
Finger Lakes,Yates,1937,406,01/31/2021
Capital Region,Albany,29222,9955,02/01/2021
Western New York,Allegany,2381,499,02/01/2021
New York City,Bronx,67365,16098,02/01/2021
Southern Tier,Broome,18547,4324,02/01/2021
Western New York,Cattaraugus,4823,1094,02/01/2021
Central New York,Cayuga,7408,1446,02/01/2021
Western New York,Chautauqua,9419,1774,02/01/2021
Southern Tier,Chemung,7274,1737,02/01/2021
Southern Tier,Chenango,3421,915,02/01/2021
North Country,Clinton,10566,2218,02/01/2021
Capital Region,Columbia,4910,958,02/01/2021
Central New York,Cortland,3605,765,02/01/2021
Southern Tier,Delaware,2440,536,02/01/2021
Mid-Hudson,Dutchess,19104,4785,02/01/2021
Western New York,Erie,86133,22630,02/01/2021
North Country,Essex,4410,949,02/01/2021
North Country,Franklin,5773,1723,02/01/2021
Mohawk Valley,Fulton,4075,907,02/01/2021
Finger Lakes,Genesee,4976,992,02/01/2021
Capital Region,Greene,3502,592,02/01/2021
North Country,Hamilton,1225,77,02/01/2021
Mohawk Valley,Herkimer,6083,1296,02/01/2021
North Country,Jefferson,9989,2872,02/01/2021
New York City,Kings,122161,25362,02/01/2021
North Country,Lewis,2575,520,02/01/2021
Finger Lakes,Livingston,6178,1497,02/01/2021
Central New York,Madison,6646,1774,02/01/2021
Finger Lakes,Monroe,67397,21615,02/01/2021
Mohawk Valley,Montgomery,4447,1282,02/01/2021
Long Island,Nassau,138901,32749,02/01/2021
New York City,New York,156022,36137,02/01/2021
Western New York,Niagara,18532,4310,02/01/2021
Mohawk Valley,Oneida,24032,6606,02/01/2021
Central New York,Onondaga,52989,11665,02/01/2021
Finger Lakes,Ontario,10546,3027,02/01/2021
Mid-Hudson,Orange,19714,5703,02/01/2021
Finger Lakes,Orleans,2363,639,02/01/2021
Central New York,Oswego,10547,2019,02/01/2021
Mohawk Valley,Otsego,5917,2237,02/01/2021
Mid-Hudson,Putnam,7651,1740,02/01/2021
New York City,Queens,139987,30674,02/01/2021
Capital Region,Rensselaer,14534,4207,02/01/2021
New York City,Richmond,41463,6895,02/01/2021
Mid-Hudson,Rockland,26720,4975,02/01/2021
Capital Region,Saratoga,22193,5598,02/01/2021
Capital Region,Schenectady,13912,4498,02/01/2021
Mohawk Valley,Schoharie,1932,455,02/01/2021
Southern Tier,Schuyler,1647,445,02/01/2021
Finger Lakes,Seneca,2761,424,02/01/2021
North Country,St. Lawrence,14674,2789,02/01/2021
Southern Tier,Steuben,6152,1267,02/01/2021
Long Island,Suffolk,113052,31899,02/01/2021
Mid-Hudson,Sullivan,5050,1479,02/01/2021
Southern Tier,Tioga,2892,706,02/01/2021
Southern Tier,Tompkins,8347,1693,02/01/2021
Mid-Hudson,Ulster,13909,2932,02/01/2021
Capital Region,Warren,6381,1679,02/01/2021
Capital Region,Washington,4256,1048,02/01/2021
Finger Lakes,Wayne,7139,1907,02/01/2021
Mid-Hudson,Westchester,90084,22880,02/01/2021
Finger Lakes,Wyoming,3153,834,02/01/2021
Finger Lakes,Yates,2011,416,02/01/2021
Capital Region,Albany,29357,10280,02/02/2021
Western New York,Allegany,2421,590,02/02/2021
New York City,Bronx,68258,16957,02/02/2021
Southern Tier,Broome,18677,4674,02/02/2021
Western New York,Cattaraugus,4831,1119,02/02/2021
Central New York,Cayuga,7478,1632,02/02/2021
Western New York,Chautauqua,9450,1926,02/02/2021
Southern Tier,Chemung,7475,1795,02/02/2021
Southern Tier,Chenango,3447,935,02/02/2021
North Country,Clinton,10659,2480,02/02/2021
Capital Region,Columbia,4918,989,02/02/2021
Central New York,Cortland,3643,774,02/02/2021
Southern Tier,Delaware,2477,565,02/02/2021
Mid-Hudson,Dutchess,19207,5055,02/02/2021
Western New York,Erie,86763,24633,02/02/2021
North Country,Essex,4446,1038,02/02/2021
North Country,Franklin,5830,1866,02/02/2021
Mohawk Valley,Fulton,4090,985,02/02/2021
Finger Lakes,Genesee,5002,1051,02/02/2021
Capital Region,Greene,3518,606,02/02/2021
North Country,Hamilton,1227,84,02/02/2021
Mohawk Valley,Herkimer,6216,1437,02/02/2021
North Country,Jefferson,10035,3045,02/02/2021
New York City,Kings,123234,26450,02/02/2021
North Country,Lewis,2595,585,02/02/2021
Finger Lakes,Livingston,6215,1696,02/02/2021
Central New York,Madison,6730,1892,02/02/2021
Finger Lakes,Monroe,67935,22925,02/02/2021
Mohawk Valley,Montgomery,4462,1320,02/02/2021
Long Island,Nassau,139967,34239,02/02/2021
New York City,New York,156786,38031,02/02/2021
Western New York,Niagara,18647,4772,02/02/2021
Mohawk Valley,Oneida,24168,7329,02/02/2021
Central New York,Onondaga,53740,11976,02/02/2021
Finger Lakes,Ontario,10607,3203,02/02/2021
Mid-Hudson,Orange,19815,5825,02/02/2021
Finger Lakes,Orleans,2381,667,02/02/2021
Central New York,Oswego,10649,2195,02/02/2021
Mohawk Valley,Otsego,6056,2345,02/02/2021
Mid-Hudson,Putnam,7670,1822,02/02/2021
New York City,Queens,141042,31873,02/02/2021
Capital Region,Rensselaer,14600,4361,02/02/2021
New York City,Richmond,41744,7293,02/02/2021
Mid-Hudson,Rockland,26776,5250,02/02/2021
Capital Region,Saratoga,22300,6114,02/02/2021
Capital Region,Schenectady,13957,4688,02/02/2021
Mohawk Valley,Schoharie,1938,460,02/02/2021
Southern Tier,Schuyler,1660,457,02/02/2021
Finger Lakes,Seneca,2806,468,02/02/2021
North Country,St. Lawrence,14786,3121,02/02/2021
Southern Tier,Steuben,6299,1477,02/02/2021
Long Island,Suffolk,115709,34397,02/02/2021
Mid-Hudson,Sullivan,5060,1483,02/02/2021
Southern Tier,Tioga,2946,766,02/02/2021
Southern Tier,Tompkins,8441,1701,02/02/2021
Mid-Hudson,Ulster,13969,3180,02/02/2021
Capital Region,Warren,6403,1859,02/02/2021
Capital Region,Washington,4268,1163,02/02/2021
Finger Lakes,Wayne,7256,1998,02/02/2021
Mid-Hudson,Westchester,90515,24094,02/02/2021
Finger Lakes,Wyoming,3166,1062,02/02/2021
Finger Lakes,Yates,2013,437,02/02/2021
Capital Region,Albany,30499,10830,02/03/2021
Western New York,Allegany,2439,650,02/03/2021
New York City,Bronx,69617,18631,02/03/2021
Southern Tier,Broome,20009,5297,02/03/2021
Western New York,Cattaraugus,5056,1287,02/03/2021
Central New York,Cayuga,7642,1932,02/03/2021
Western New York,Chautauqua,9960,2191,02/03/2021
Southern Tier,Chemung,7509,1906,02/03/2021
Southern Tier,Chenango,3617,1016,02/03/2021
North Country,Clinton,11232,2791,02/03/2021
Capital Region,Columbia,5030,1086,02/03/2021
Central New York,Cortland,3809,964,02/03/2021
Southern Tier,Delaware,2533,753,02/03/2021
Mid-Hudson,Dutchess,19467,5817,02/03/2021
Western New York,Erie,88809,27589,02/03/2021
North Country,Essex,4640,1172,02/03/2021
North Country,Franklin,6109,1905,02/03/2021
Mohawk Valley,Fulton,4141,1267,02/03/2021
Finger Lakes,Genesee,5059,1245,02/03/2021
Capital Region,Greene,3604,789,02/03/2021
North Country,Hamilton,1230,124,02/03/2021
Mohawk Valley,Herkimer,6375,1582,02/03/2021
North Country,Jefferson,10428,3194,02/03/2021
New York City,Kings,125149,28480,02/03/2021
North Country,Lewis,2625,594,02/03/2021
Finger Lakes,Livingston,6385,1939,02/03/2021
Central New York,Madison,6935,2231,02/03/2021
Finger Lakes,Monroe,70277,25416,02/03/2021
Mohawk Valley,Montgomery,4663,1558,02/03/2021
Long Island,Nassau,143535,38438,02/03/2021
New York City,New York,159960,41906,02/03/2021
Western New York,Niagara,19161,5569,02/03/2021
Mohawk Valley,Oneida,25179,8019,02/03/2021
Central New York,Onondaga,55481,13460,02/03/2021
Finger Lakes,Ontario,10880,3537,02/03/2021
Mid-Hudson,Orange,20050,6506,02/03/2021
Finger Lakes,Orleans,2425,772,02/03/2021
Central New York,Oswego,10883,2392,02/03/2021
Mohawk Valley,Otsego,6254,2427,02/03/2021
Mid-Hudson,Putnam,7869,2115,02/03/2021
New York City,Queens,143578,34575,02/03/2021
Capital Region,Rensselaer,15402,4583,02/03/2021
New York City,Richmond,42208,8196,02/03/2021
Mid-Hudson,Rockland,27172,6233,02/03/2021
Capital Region,Saratoga,23050,6899,02/03/2021
Capital Region,Schenectady,14436,5028,02/03/2021
Mohawk Valley,Schoharie,1976,531,02/03/2021
Southern Tier,Schuyler,1670,472,02/03/2021
Finger Lakes,Seneca,2857,525,02/03/2021
North Country,St. Lawrence,15427,3662,02/03/2021
Southern Tier,Steuben,6370,1653,02/03/2021
Long Island,Suffolk,118694,37770,02/03/2021
Mid-Hudson,Sullivan,5268,1729,02/03/2021
Southern Tier,Tioga,3085,879,02/03/2021
Southern Tier,Tompkins,8623,2185,02/03/2021
Mid-Hudson,Ulster,14296,3597,02/03/2021
Capital Region,Warren,6570,2049,02/03/2021
Capital Region,Washington,4353,1275,02/03/2021
Finger Lakes,Wayne,7372,2229,02/03/2021
Mid-Hudson,Westchester,91994,27300,02/03/2021
Finger Lakes,Wyoming,3202,1123,02/03/2021
Finger Lakes,Yates,2036,482,02/03/2021
Capital Region,Albany,31426,11579,02/04/2021
Western New York,Allegany,2466,826,02/04/2021
New York City,Bronx,72549,20577,02/04/2021
Southern Tier,Broome,20849,6135,02/04/2021
Western New York,Cattaraugus,5259,1474,02/04/2021
Central New York,Cayuga,7917,2060,02/04/2021
Western New York,Chautauqua,10023,2521,02/04/2021
Southern Tier,Chemung,7670,2269,02/04/2021
Southern Tier,Chenango,3647,1120,02/04/2021
North Country,Clinton,11814,3164,02/04/2021
Capital Region,Columbia,5383,1253,02/04/2021
Central New York,Cortland,3898,1215,02/04/2021
Southern Tier,Delaware,2644,819,02/04/2021
Mid-Hudson,Dutchess,20409,6769,02/04/2021
Western New York,Erie,91507,29388,02/04/2021
North Country,Essex,4970,1296,02/04/2021
North Country,Franklin,6300,2069,02/04/2021
Mohawk Valley,Fulton,4382,1507,02/04/2021
Finger Lakes,Genesee,5153,1391,02/04/2021
Capital Region,Greene,3757,857,02/04/2021
North Country,Hamilton,1268,144,02/04/2021
Mohawk Valley,Herkimer,6517,1695,02/04/2021
North Country,Jefferson,10906,3610,02/04/2021
New York City,Kings,132196,32592,02/04/2021
North Country,Lewis,2690,794,02/04/2021
Finger Lakes,Livingston,6665,2177,02/04/2021
Central New York,Madison,7163,2409,02/04/2021
Finger Lakes,Monroe,71994,27037,02/04/2021
Mohawk Valley,Montgomery,4766,1768,02/04/2021
Long Island,Nassau,148510,44140,02/04/2021
New York City,New York,165981,46453,02/04/2021
Western New York,Niagara,19383,5950,02/04/2021
Mohawk Valley,Oneida,25799,8389,02/04/2021
Central New York,Onondaga,56759,15094,02/04/2021
Finger Lakes,Ontario,11241,3763,02/04/2021
Mid-Hudson,Orange,21075,7726,02/04/2021
Finger Lakes,Orleans,2596,810,02/04/2021
Central New York,Oswego,11270,2637,02/04/2021
Mohawk Valley,Otsego,6341,2523,02/04/2021
Mid-Hudson,Putnam,8093,2584,02/04/2021
New York City,Queens,150051,38722,02/04/2021
Capital Region,Rensselaer,16035,4898,02/04/2021
New York City,Richmond,43896,9269,02/04/2021
Mid-Hudson,Rockland,28020,7240,02/04/2021
Capital Region,Saratoga,23744,7875,02/04/2021
Capital Region,Schenectady,14822,5336,02/04/2021
Mohawk Valley,Schoharie,2027,623,02/04/2021
Southern Tier,Schuyler,1696,537,02/04/2021
Finger Lakes,Seneca,3001,580,02/04/2021
North Country,St. Lawrence,15929,4307,02/04/2021
Southern Tier,Steuben,6648,1946,02/04/2021
Long Island,Suffolk,123081,42258,02/04/2021
Mid-Hudson,Sullivan,5317,1933,02/04/2021
Southern Tier,Tioga,3190,1037,02/04/2021
Southern Tier,Tompkins,8888,2651,02/04/2021
Mid-Hudson,Ulster,14561,4215,02/04/2021
Capital Region,Warren,6719,2377,02/04/2021
Capital Region,Washington,4424,1479,02/04/2021
Finger Lakes,Wayne,7480,2320,02/04/2021
Mid-Hudson,Westchester,95350,30936,02/04/2021
Finger Lakes,Wyoming,3286,1241,02/04/2021
Finger Lakes,Yates,2068,598,02/04/2021
Capital Region,Albany,32173,12768,02/05/2021
Western New York,Allegany,2626,980,02/05/2021
New York City,Bronx,75055,22831,02/05/2021
Southern Tier,Broome,21635,6769,02/05/2021
Western New York,Cattaraugus,5449,1667,02/05/2021
Central New York,Cayuga,8135,2216,02/05/2021
Western New York,Chautauqua,10222,2950,02/05/2021
Southern Tier,Chemung,7879,2661,02/05/2021
Southern Tier,Chenango,3816,1293,02/05/2021
North Country,Clinton,12167,3390,02/05/2021
Capital Region,Columbia,5564,1499,02/05/2021
Central New York,Cortland,4042,1382,02/05/2021
Southern Tier,Delaware,2777,919,02/05/2021
Mid-Hudson,Dutchess,21067,7746,02/05/2021
Western New York,Erie,94839,31986,02/05/2021
North Country,Essex,5124,1406,02/05/2021
North Country,Franklin,6621,2272,02/05/2021
Mohawk Valley,Fulton,4465,1710,02/05/2021
Finger Lakes,Genesee,5417,1484,02/05/2021
Capital Region,Greene,3906,984,02/05/2021
North Country,Hamilton,1282,172,02/05/2021
Mohawk Valley,Herkimer,6800,1872,02/05/2021
North Country,Jefferson,11185,3982,02/05/2021
New York City,Kings,138301,35850,02/05/2021
North Country,Lewis,2933,859,02/05/2021
Finger Lakes,Livingston,6793,2372,02/05/2021
Central New York,Madison,7369,2723,02/05/2021
Finger Lakes,Monroe,73915,28258,02/05/2021
Mohawk Valley,Montgomery,4885,2027,02/05/2021
Long Island,Nassau,152971,48810,02/05/2021
New York City,New York,171644,50968,02/05/2021
Western New York,Niagara,20014,6388,02/05/2021
Mohawk Valley,Oneida,26700,8927,02/05/2021
Central New York,Onondaga,57988,16436,02/05/2021
Finger Lakes,Ontario,11732,4130,02/05/2021
Mid-Hudson,Orange,21455,8685,02/05/2021
Finger Lakes,Orleans,2645,840,02/05/2021
Central New York,Oswego,11617,2871,02/05/2021
Mohawk Valley,Otsego,6502,2805,02/05/2021
Mid-Hudson,Putnam,8427,2887,02/05/2021
New York City,Queens,156359,42096,02/05/2021
Capital Region,Rensselaer,16569,5438,02/05/2021
New York City,Richmond,45107,10493,02/05/2021
Mid-Hudson,Rockland,28973,8340,02/05/2021
Capital Region,Saratoga,24568,9077,02/05/2021
Capital Region,Schenectady,15157,5858,02/05/2021
Mohawk Valley,Schoharie,2185,669,02/05/2021
Southern Tier,Schuyler,1823,714,02/05/2021
Finger Lakes,Seneca,3085,676,02/05/2021
North Country,St. Lawrence,16640,4675,02/05/2021
Southern Tier,Steuben,6769,2179,02/05/2021
Long Island,Suffolk,127979,47788,02/05/2021
Mid-Hudson,Sullivan,5404,2056,02/05/2021
Southern Tier,Tioga,3377,1158,02/05/2021
Southern Tier,Tompkins,9150,3108,02/05/2021
Mid-Hudson,Ulster,15088,4888,02/05/2021
Capital Region,Warren,6856,2602,02/05/2021
Capital Region,Washington,4511,1653,02/05/2021
Finger Lakes,Wayne,7637,2415,02/05/2021
Mid-Hudson,Westchester,98401,34974,02/05/2021
Finger Lakes,Wyoming,3342,1283,02/05/2021
Finger Lakes,Yates,2139,639,02/05/2021
