Region,County,First Dose,Series Complete,Report as of
Western New York,Allegany,42,0,12/20/2020
New York City,Bronx,689,2,12/20/2020
Southern Tier,Broome,18,0,12/20/2020
Western New York,Cattaraugus,159,0,12/20/2020
Central New York,Cayuga,31,0,12/20/2020
Western New York,Chautauqua,138,0,12/20/2020
Southern Tier,Chemung,5,0,12/20/2020
Southern Tier,Chenango,7,0,12/20/2020
North Country,Clinton,40,1,12/20/2020
Capital Region,Columbia,82,0,12/20/2020
Central New York,Cortland,7,0,12/20/2020
Southern Tier,Delaware,7,0,12/20/2020
Mid-Hudson,Dutchess,332,0,12/20/2020
Western New York,Erie,2119,2,12/20/2020
North Country,Essex,25,0,12/20/2020
North Country,Franklin,130,0,12/20/2020
Mohawk Valley,Fulton,31,0,12/20/2020
Finger Lakes,Genesee,21,0,12/20/2020
Capital Region,Greene,36,0,12/20/2020
North Country,Hamilton,2,0,12/20/2020
Mohawk Valley,Herkimer,72,0,12/20/2020
North Country,Jefferson,26,0,12/20/2020
New York City,Kings,3179,14,12/20/2020
North Country,Lewis,4,0,12/20/2020
Finger Lakes,Livingston,44,0,12/20/2020
Central New York,Madison,70,0,12/20/2020
Finger Lakes,Monroe,1568,3,12/20/2020
Mohawk Valley,Montgomery,61,0,12/20/2020
Long Island,Nassau,2540,3,12/20/2020
New York City,New York,4078,11,12/20/2020
Western New York,Niagara,228,0,12/20/2020
Mohawk Valley,Oneida,356,0,12/20/2020
Central New York,Onondaga,911,0,12/20/2020
Finger Lakes,Ontario,102,0,12/20/2020
Mid-Hudson,Orange,845,5,12/20/2020
Finger Lakes,Orleans,18,0,12/20/2020
Central New York,Oswego,41,0,12/20/2020
Mohawk Valley,Otsego,127,0,12/20/2020
Mid-Hudson,Putnam,93,2,12/20/2020
New York City,Queens,2176,10,12/20/2020
Capital Region,Rensselaer,220,1,12/20/2020
New York City,Richmond,1054,2,12/20/2020
Mid-Hudson,Rockland,602,2,12/20/2020
Capital Region,Saratoga,503,1,12/20/2020
Capital Region,Schenectady,311,1,12/20/2020
Mohawk Valley,Schoharie,16,0,12/20/2020
Southern Tier,Schuyler,0,0,12/20/2020
Finger Lakes,Seneca,5,0,12/20/2020
North Country,St. Lawrence,594,0,12/20/2020
Southern Tier,Steuben,6,0,12/20/2020
Long Island,Suffolk,1749,9,12/20/2020
Mid-Hudson,Sullivan,56,0,12/20/2020
Southern Tier,Tioga,3,0,12/20/2020
Southern Tier,Tompkins,9,0,12/20/2020
Mid-Hudson,Ulster,218,1,12/20/2020
Capital Region,Warren,109,0,12/20/2020
Capital Region,Washington,40,0,12/20/2020
Finger Lakes,Wayne,49,0,12/20/2020
Mid-Hudson,Westchester,1679,7,12/20/2020
Finger Lakes,Wyoming,22,0,12/20/2020
Finger Lakes,Yates,6,0,12/20/2020
Capital Region,Albany,857,3,12/21/2020
Western New York,Allegany,47,0,12/21/2020
New York City,Bronx,897,2,12/21/2020
Southern Tier,Broome,23,0,12/21/2020
Western New York,Cattaraugus,175,0,12/21/2020
Central New York,Cayuga,64,0,12/21/2020
Western New York,Chautauqua,164,0,12/21/2020
Southern Tier,Chemung,6,0,12/21/2020
Southern Tier,Chenango,18,0,12/21/2020
North Country,Clinton,94,1,12/21/2020
Capital Region,Columbia,102,0,12/21/2020
Central New York,Cortland,19,0,12/21/2020
Southern Tier,Delaware,9,0,12/21/2020
Mid-Hudson,Dutchess,423,2,12/21/2020
Western New York,Erie,2918,2,12/21/2020
North Country,Essex,36,0,12/21/2020
North Country,Franklin,173,0,12/21/2020
Mohawk Valley,Fulton,78,0,12/21/2020
Finger Lakes,Genesee,28,0,12/21/2020
Capital Region,Greene,47,0,12/21/2020
North Country,Hamilton,2,0,12/21/2020
Mohawk Valley,Herkimer,86,0,12/21/2020
North Country,Jefferson,30,0,12/21/2020
New York City,Kings,3914,15,12/21/2020
North Country,Lewis,5,0,12/21/2020
Finger Lakes,Livingston,52,0,12/21/2020
Central New York,Madison,119,0,12/21/2020
Finger Lakes,Monroe,2028,3,12/21/2020
Mohawk Valley,Montgomery,101,0,12/21/2020
Long Island,Nassau,3067,5,12/21/2020
New York City,New York,4777,11,12/21/2020
Western New York,Niagara,417,0,12/21/2020
Mohawk Valley,Oneida,402,0,12/21/2020
Central New York,Onondaga,1080,2,12/21/2020
Finger Lakes,Ontario,126,0,12/21/2020
Mid-Hudson,Orange,929,8,12/21/2020
Finger Lakes,Orleans,26,0,12/21/2020
Central New York,Oswego,57,0,12/21/2020
Mohawk Valley,Otsego,159,0,12/21/2020
Mid-Hudson,Putnam,106,3,12/21/2020
New York City,Queens,2781,15,12/21/2020
Capital Region,Rensselaer,237,1,12/21/2020
New York City,Richmond,1264,4,12/21/2020
Mid-Hudson,Rockland,670,3,12/21/2020
Capital Region,Saratoga,579,2,12/21/2020
Capital Region,Schenectady,357,1,12/21/2020
Mohawk Valley,Schoharie,18,0,12/21/2020
Southern Tier,Schuyler,0,0,12/21/2020
Finger Lakes,Seneca,5,0,12/21/2020
North Country,St. Lawrence,643,0,12/21/2020
Southern Tier,Steuben,9,0,12/21/2020
Long Island,Suffolk,2129,10,12/21/2020
Mid-Hudson,Sullivan,70,0,12/21/2020
Southern Tier,Tioga,3,0,12/21/2020
Southern Tier,Tompkins,19,0,12/21/2020
Mid-Hudson,Ulster,262,1,12/21/2020
Capital Region,Warren,130,0,12/21/2020
Capital Region,Washington,58,0,12/21/2020
Finger Lakes,Wayne,63,0,12/21/2020
Mid-Hudson,Westchester,2007,9,12/21/2020
Finger Lakes,Wyoming,30,0,12/21/2020
Finger Lakes,Yates,6,0,12/21/2020
Capital Region,Albany,1061,3,12/22/2020
Western New York,Allegany,66,0,12/22/2020
New York City,Bronx,1297,3,12/22/2020
Southern Tier,Broome,38,0,12/22/2020
Western New York,Cattaraugus,224,0,12/22/2020
Central New York,Cayuga,105,0,12/22/2020
Western New York,Chautauqua,182,0,12/22/2020
Southern Tier,Chemung,6,0,12/22/2020
Southern Tier,Chenango,37,0,12/22/2020
North Country,Clinton,205,1,12/22/2020
Capital Region,Columbia,114,0,12/22/2020
Central New York,Cortland,118,1,12/22/2020
Southern Tier,Delaware,16,0,12/22/2020
Mid-Hudson,Dutchess,561,5,12/22/2020
Western New York,Erie,3854,4,12/22/2020
North Country,Essex,59,0,12/22/2020
North Country,Franklin,204,0,12/22/2020
Mohawk Valley,Fulton,87,0,12/22/2020
Finger Lakes,Genesee,40,0,12/22/2020
Capital Region,Greene,54,0,12/22/2020
North Country,Hamilton,2,0,12/22/2020
